{
  [0]"SMValue": "employeeCode",
  [1]"stage":"1/2/3/4/5/6",
  [2]"campaign": "campaignTheyCameFrom",
 
  [3]"countryCode": "valueChosenFromCountryListFunction",
  [4]"timezone": "defaultForTheCountryChosen",
  [5]"countryName": "nameFromList",

  [6]"email": "valueInputFromFormField",
  [7]"parentName": "FullNameString",
  [8]"phoneNumber": "valueInputFromFormField",
 
  [9]"member0": [10]"age0",
  [11]"member1": [12]"age1",
  [13]"member2": [14]"age2",
  [15]"member3": [16]"age3",
  [17]"member4": [18]"age4",
  [19]"member5": [20]"age5",
  [21]"member6": [22]"age6",
  [23]"member7": [24]"age7", // 8 members cause who fucks so much, and such a family is breeding not procreating #itTookSimpleMathToReachMoon

  [25]"receivedFrom: phoneNumber"
  [26]"givenTo:phoneNumber"    


  [27]"probeHeaderFromAllowedPrompts && probeSummary"


  [28]"eventComment": "concatenatedStringOf_date_time_employeeCode",
  "...i'th_Appended_eventComment": "...i'th_Appended_concatenatedStringOf_date_time_employeeCode",
  
  [29]"invoiceID,i-thInvoice"

  [30]"sessionList,sessionID:cost,...appendedIDs:appendedCosts"
  [31]"#End_Of_File"
},

